name,score,developer,publisher,owners,players_forever,players_2weeks,score_ratio(+to-),days_since_sale,average_days_per_sale,average_days_per_sale_variance 
Operation Warcade VR,100,Ivanovich Games,Ivanovich Games,4953,4171,1568,129.00,-1.00,-1.00,-1.00
Cinderella Escape 2 Revenge,71,Hajime Doujin Circle,Hajime Doujin Circle,7560,5735,1043,8.71,-1.00,-1.00,-1.00
Cat Simulator,7,"Funny Games Group, Catstudio",Funny Games Group,3650,2607,0,0.88,-1.00,-1.00,-1.00
Panty Party,82,Animu Game,Animu Game,15380,10688,1176,13.11,-1.00,-1.00,-1.00
APB Reloaded,18,Reloaded Productions,Reloaded Games,5601555,3468647,53701,1.70,-1.00,-1.00,-1.00
Formata,42,Nezon Production,Nezon Production,15380,14859,1825,3.69,-1.00,-1.00,-1.00
  The Disappearing of Gensokyo,62,MyACG Studio,MyACG Studio,27893,25026,14077,6.31,-1.00,-1.00,-1.00
SecondSpeed,,"izzYFoxDev, Panda2U",izzYFoxDev,4953,785,0,0.00,-1.00,-1.00,-1.00
King of the Couch: Zoovival,56,Loophole Interactive,Loophole Interactive,5996,1961,0,5.57,-1.00,-1.00,-1.00
Demon Hearts,49,Jon Harwood Creations LLC,Jon Harwood Creations LLC,19551,12773,0,4.50,-1.00,-1.00,-1.00
Shadow Complex Remastered,59,ChAIR Entertainment,Epic Games,175961,64910,782,5.96,-1.00,-1.00,-1.00
Blue Estate The Game,78,HE SAW,HE SAW,64389,45880,1555,10.35,-1.00,-1.00,-1.00
Mover,,Hont,BlackNoiseStudio,784,0,0,0.00,-1.00,-1.00,-1.00
Drift Into Eternity,53,We Are Bots,We Are Bots,1825,0,0,5.20,-1.00,-1.00,-1.00
Nevrosa: Prelude,92,GexagonVR,GexagonVR,30761,14859,1172,21.67,-1.00,-1.00,-1.00
Shmups Skill Test ,86,TRIANGLE SERVICE,Degica,4692,3128,0,14.50,-1.00,-1.00,-1.00
Wild Terra Online,18,Juvty Worlds Ltd.,Juvty Worlds Ltd.,22419,21376,2868,1.64,-1.00,-1.00,-1.00
Toy Odyssey: The Lost and Found,30,Hikergames,Hikergames,103752,18769,1176,2.45,-1.00,-1.00,-1.00
Shikhondo() - Soul Eater,56,DeerFarm,DeerFarm,1043,1172,0,5.57,-1.00,-1.00,-1.00
DRAGON QUEST HEROES Slime Edition,25,"KOEI TECMO GAMES CO., LTD.",Square Enix,43273,39884,778,2.20,-1.00,-1.00,-1.00
ZOMBI,21,Straight Right,Ubisoft,69081,59436,1555,1.78,-1.00,-1.00,-1.00
Minimized,11,Crystal Box Team,Dagestan Technology,166316,143897,784,1.16,-1.00,-1.00,-1.00
Livelock,40,Tuque Games,Perfect World Entertainment,34410,23722,1570,3.38,-1.00,-1.00,-1.00
INIT.,0,Narrow Monolith,Narrow Monolith,2346,1961,0,0.21,-1.00,-1.00,-1.00
The Body Changer,47,TheShortAndTheTall,TheShortAndTheTall,8603,4432,0,4.00,-1.00,-1.00,-1.00
Path of Exile,82,Grinding Gear Games,Grinding Gear Games,9051694,6301489,377990,12.86,-1.00,-1.00,-1.00
The Dungeoning,33,Nick Donnelly,Nick Donnelly,4432,2607,0,2.79,-1.00,-1.00,-1.00
Marlow Briggs and the Mask of Death,82,Zootfly,505 Games,113397,51355,0,12.24,-1.00,-1.00,-1.00
Alchemist Penguin,100,"Foot in the Box, LLC","Foot in the Box, LLC",2343,778,0,10.00,-1.00,-1.00,-1.00
Plastic Playground,2,Tomorrow Arts,GP Games,84461,32585,0,0.47,-1.00,-1.00,-1.00
Dance Magic,40,Targem Games,Targem Games ,10167,7560,785,3.44,-1.00,-1.00,-1.00
Trials Evolution: Gold Edition,39,"Redlynx Ltd, Ubisoft  Shanghaï",Ubisoft,259119,241132,1564,3.34,-1.00,-1.00,-1.00
PAKO 2,89,Tree Men Games,Tree Men Games,3389,2868,0,16.86,-1.00,-1.00,-1.00
Project Explore,39,Sebastian Nigro,Sebastian Nigro,16423,13816,0,3.35,-1.00,-1.00,-1.00
Serious Sam: The Random Encounter,11,"Vlambeer, Croteam",Devolver Digital,519802,114700,782,1.14,-1.00,-1.00,-1.00
Sine Mora EX,28,"Digital Reality, Grasshopper Manufacture, Gyroscope Games",THQ Nordic,232269,25286,1171,2.35,-1.00,-1.00,-1.00
Ninja Outbreak,,Renegade Sector Games,Renegade Sector Games,3389,2868,0,2.00,-1.00,-1.00,-1.00
Cosmic Kites,,Fishmoose Interactive,Fishmoose Interactive,785,785,0,0.00,-1.00,-1.00,-1.00
Sky Knights,97,Hampus Bankler,Hampus Bankler,2607,2607,1568,33.75,-1.00,-1.00,-1.00
Cosmic Cavern 3671,78,"Mindware Co.,Ltd.","Mindware Co.,Ltd.",4432,2607,0,11.00,-1.00,-1.00,-1.00
Even the Ocean,62,"Sean Han Tani, Joni Kittaka",Analgesic Productions,3128,1564,0,6.21,-1.00,-1.00,-1.00
Auto-Staccato,,Birch Log,STEAKSTEAK Games,1176,785,785,0.00,-1.00,-1.00,-1.00
Robot King Part I: Rebooted and Ready,5,Steven Taylor,Steven Taylor,5214,2085,778,0.73,-1.00,-1.00,-1.00
Hard Man,16,oblomysh,oblomysh,41449,8603,1043,1.54,-1.00,-1.00,-1.00
Tap Tap Legions - Epic battles within 5 seconds!,11,YFC games,YFC games,159017,104795,784,1.16,-1.00,-1.00,-1.00
Shiny Gauntlet,,Spritewrench,Spritewrench,6256,4953,0,0.50,-1.00,-1.00,-1.00
Sins Of The Demon RPG,62,Chandler Rounsley,Chandler Rounsley,199162,112094,1825,6.18,-1.00,-1.00,-1.00
GunFleet,16,Areo Gaming,Areo Gaming,43534,33628,0,1.52,-1.00,-1.00,-1.00
My Loved Heart,24,"LeshaWhite Studio, LeshaWhite Studio",LeshaWhite Studio,19291,1825,1043,2.07,-1.00,-1.00,-1.00
Epic Snails,95,"RocketSnail, SkyVu",Screenzilla Entertainment,8342,6778,781,28.75,-1.00,-1.00,-1.00
Sniper Elite: Nazi Zombie Army 2,59,,Rebellion,445768,374341,2868,5.79,-1.00,-1.00,-1.00
Dragon's Lair 2: Time Warp,51,Digital Leisure Inc.,Digital Leisure Inc.,8342,3128,0,4.62,-1.00,-1.00,-1.00
DARK SOULS II: Scholar of the First Sin,65,"FromSoftware, Inc","BANDAI NAMCO Entertainment, FromSoftware, Inc",1440795,1137099,88111,6.94,-1.00,-1.00,-1.00
FIRST STEAM GAME VHS - COLOR RETRO RACER : MILES CHALLENGE,18,Bacq Stellan,OtakuMaker SARL,6778,5474,1953,1.64,-1.00,-1.00,-1.00
Achievement Hunter: Cromulent,19,putilin_industries,putiin_industries,10167,4953,781,1.75,-1.00,-1.00,-1.00
NEKO-NIN exHeart +PLUS Saiha,82,Whirlpool,Sekai Project,4171,2354,0,12.67,-1.00,-1.00,-1.00
Glorious Noon,28,Jehan Kobe Chang,Jehan Kobe Chang,10167,5474,1171,2.33,-1.00,-1.00,-1.00
Overruled!,11,Dlala Studios,Team17 Digital Ltd,44837,13034,0,1.19,-1.00,-1.00,-1.00
IronWolf VR,99,Ionized Studios,Ionized Studios,15902,13556,1564,94.33,-1.00,-1.00,-1.00
Unreal Tournament 2004: Editor's Choice Edition,97,"Epic Games, Inc.","Epic Games, Inc.",484349,289879,7560,45.31,-1.00,-1.00,-1.00
Alien Zombie Megadeath,35,PomPom,Pom Pom Games,27111,7820,0,2.88,-1.00,-1.00,-1.00
Dungelot: Shattered Lands,53,Red Winter Software,tinyBuild,31021,19812,1172,4.89,-1.00,-1.00,-1.00
Mafia II,89,"2K Czech, Feral Interactive (Mac)","2K Games, Feral Interactive (Mac)",2645671,2104754,39624,17.55,-1.00,-1.00,-1.00
Achievement Hunter: Darkness,3,putilin_industries,putilin_industries,2346,2085,0,0.58,-1.00,-1.00,-1.00
Comanche 4,71,NovaLogic,"NovaLogic, THQ Nordic",30239,15641,781,8.22,-1.00,-1.00,-1.00
Super Treasure Arena,53,Vennril,Headup Games,2346,1953,0,5.20,-1.00,-1.00,-1.00
Flying Pengy,100,Bogemic Games,Bogemic Games,5735,5474,0,4.00,-1.00,-1.00,-1.00
Epistory - Typing Chronicles,95,Fishing Cactus,"Fishing Cactus, Plug In Digital",260683,119132,3910,25.34,-1.00,-1.00,-1.00
D.R.I.L.L.,,dfree,VR-Reel Media,2868,1564,1564,0.00,-1.00,-1.00,-1.00
METAL GEAR SOLID V: THE PHANTOM PAIN,67,Konami Digital Entertainment,Konami Digital Entertainment,1517957,1390483,73252,7.90,-1.00,-1.00,-1.00
Call of Tomsk-7,53,Daniel Mercier,Mercier Games	,28936,10688,0,5.05,-1.00,-1.00,-1.00
Fog of War,13,Monkeys Lab.,Neokosmos Technologies Ltd.,14338,13295,0,1.32,-1.00,-1.00,-1.00
Lander 8009 VR,,Ivanovich Games,Ivanovich Games,1825,1303,0,0.00,-1.00,-1.00,-1.00
Wheel Riders Online OBT,1,Raum Studio,Raum Studio,42491,19551,4953,0.41,-1.00,-1.00,-1.00
An Imp? A Fiend!,16,Blaze Epic,Blaze Epic,21637,13034,785,1.54,-1.00,-1.00,-1.00
Purgatory,17,Eduard Mirica,New Reality Games,297439,236700,5214,1.58,-1.00,-1.00,-1.00
Rogue Port - Blue Nightmare,,Sunight Games,Sunight Games,116004,113397,785,0.00,-1.00,-1.00,-1.00
Tom Clancy's Splinter Cell Chaos Theory,86,Ubisoft Montreal,Ubisoft,381901,219495,1825,14.48,-1.00,-1.00,-1.00
Super Mustache,33,Redro Games,Back To Basics Gaming,486956,338106,2868,2.79,-1.00,-1.00,-1.00
Dark Sector,39,Digital Extremes,ND Games,65692,29718,785,3.33,-1.00,-1.00,-1.00
Absoloot,13,Latinas Tomatos,Dagestan Technology ,148329,130341,782,1.38,-1.00,-1.00,-1.00
Bleeding Blocks,62,Killer Teapot Games,Killer Teapot Games,3910,778,0,6.50,-1.00,-1.00,-1.00
A grande baguna espacial - The big space mess,17,RMAL,SouKing,298221,235657,1564,1.61,-1.00,-1.00,-1.00
Worlds Adrift,31,Bossa Studios,Bossa Studios,40145,39102,3389,2.70,-1.00,-1.00,-1.00
CASE: Animatronics,59,"Last Level, Aleson",HypeTrain Digital,66996,35192,1562,6.00,-1.00,-1.00,-1.00
METAGAL,28,RetroRevolution,RetroRevolution,4171,3389,0,2.33,-1.00,-1.00,-1.00
CountDown,14,StarSystemStudios™,StarSystemStudios™,156670,141029,778,1.40,-1.00,-1.00,-1.00
Voxel Blast,23,Ceiba Software and Arts,Ceiba Software and Arts,2868,2085,0,2.00,-1.00,-1.00,-1.00
Ship Ahoy Open BETA,74,OKAM Studio,OKAM Studio,8863,4432,3650,10.00,-1.00,-1.00,-1.00
METAL SLUG,78,DotEmu,SNK CORPORATION,183781,117047,2346,10.26,-1.00,-1.00,-1.00
Altar Guardian,4,Hipix Studio,AYE Technology,137380,124346,2732,0.67,-1.00,-1.00,-1.00
Serious Sam Classic: The Second Encounter,97,Croteam,Devolver Digital,795604,130081,1564,34.63,-1.00,-1.00,-1.00
Venture Forth,53,Arclight Worlds,Indie Voyage,1043,781,0,5.00,-1.00,-1.00,-1.00
Mega Man Legacy Collection 2 /    2,56,"CAPCOM CO., LTD","CAPCOM CO., LTD",33367,20333,1825,5.55,-1.00,-1.00,-1.00
Chromatic,82,Marc-Antoine Jacob,MAJ Studio,3650,0,0,12.00,-1.00,-1.00,-1.00
Caladrius Blaze,44,"Moss Co., Ltd.","H2 Interactive Co., Ltd.",8081,5214,785,3.76,-1.00,-1.00,-1.00
Formicide,47,"Rock Wall Games, LLC","Rock Wall Games, LLC",126953,96713,1825,4.13,-1.00,-1.00,-1.00
Toy Wars Invasion,4,Web Interactive Solutions,Web Interactive Solutions,782,781,0,0.67,-1.00,-1.00,-1.00
Freefall,,Shockk,Shockk,785,0,0,0.00,-1.00,-1.00,-1.00
Dinosaur Hunt,21,Racing Bros,ANPA.US,134252,100624,3389,1.82,-1.00,-1.00,-1.00
Magicka: Wizard Wars,,Paradox North,Paradox Interactive,3589604,1948605,1564,5.69,-1.00,-1.00,-1.00
Achievement Hunter: Urban,9,putilin_industries,putilin_industries,2607,1825,0,1.05,-1.00,-1.00,-1.00
Castlevania: Lords of Shadow  Mirror of Fate HD,51,MercurySteam,Konami Digital Entertainment,113658,63867,1043,4.59,-1.00,-1.00,-1.00
Vampire of the Sands,35,Homph,Black Shell Media,34671,19551,785,2.85,-1.00,-1.00,-1.00
Space Beret,23,Amaterasu Software,Amaterasu Software,397802,320640,4432,1.94,-1.00,-1.00,-1.00
HitBox,11,"Tyler Rogers, David Colson","Wormhole Entertainment, Peripheral Labs",13816,9906,1303,1.14,-1.00,-1.00,-1.00
Guardians of Orion,13,"Trek Industries, Inc",Spiral Game Studios,275803,196816,2734,1.37,-1.00,-1.00,-1.00
Hyper Fighters,1,Team 6 Studios,"KISS ltd, Funbox Media Ltd",225751,28936,781,0.29,-1.00,-1.00,-1.00
Sullen,100,chrisizeful,chrisizeful,1564,1303,784,4.00,-1.00,-1.00,-1.00
Koihime Enbu,71,"UNKNOWN GAMES, M2 Co.,LTD",Degica,10949,8603,785,8.21,-1.00,-1.00,-1.00
Innoquous 5,100,Chequered Ink Ltd.,Chequered Ink Ltd.,5996,4432,0,5.00,-1.00,-1.00,-1.00
Conflict: Denied Ops,5,Pivotal Games,Square Enix,66213,14077,0,0.78,-1.00,-1.00,-1.00
Cloudbuilt,59,Coilworks,Rising Star Games,90718,59696,784,5.82,-1.00,-1.00,-1.00
Adventures of Pip,74,TicToc Games,TicToc Games,23461,10427,0,9.76,-1.00,-1.00,-1.00
Hard Room,28,"Evgeny Shcherbakov, Denis Ovsyannikov",Atriagames,250777,176222,784,2.35,-1.00,-1.00,-1.00
SteamWorld Heist,95,Image & Form,Image & Form,408490,199683,5735,25.37,-1.00,-1.00,-1.00
Subspace Continuum,62,"Virgin Interactive Entertainment, PriitK",Subspace Continuum,132166,57350,785,6.55,-1.00,-1.00,-1.00
Dark Devotion,,Hibernian Workshop,Hibernian Workshop,1176,784,0,0.00,-1.00,-1.00,-1.00
Ghost in the Machine,42,"Michael J. Moffitt, Julian J. Hammerstein","Pipeteam Games, LLC",5474,784,0,3.67,-1.00,-1.00,-1.00
Forest Escape,7,"38,9_Degrees","38,9_Degrees",3139,785,0,0.88,-1.00,-1.00,-1.00
WarBirds Dogfights 2016,5,iEntertainment Network Inc,iEntertainment Network Inc,784,784,0,0.75,-1.00,-1.00,-1.00
Galactic Battles,92,"IndieLip, Dmitriy Uvarov",IndieLip,3529,0,0,23.00,-1.00,-1.00,-1.00
Fractal,100,Phosphene Designs LLC,Phosphene Designs LLC,3650,1303,0,1.00,-1.00,-1.00,-1.00
Dragon's Prophet,28,Runewaker,Infernum Productions AG,324811,172051,782,2.43,-1.00,-1.00,-1.00
Ballistic Tanks,62,Kirklight Games,Kirklight Games,11470,9124,1171,6.62,-1.00,-1.00,-1.00
Overpower,49,Hydrant Games,Hydrant Games,1825,1562,0,4.44,-1.00,-1.00,-1.00
Curse of Mermos,13,TEAM101,TEAM101,187692,91760,0,1.34,-1.00,-1.00,-1.00
Call of Duty,86,Infinity Ward,Activision,252602,189256,5214,13.50,-1.00,-1.00,-1.00
Turner,82,Bean Boy Games,Bean Boy Games,4692,2868,1555,12.67,-1.00,-1.00,-1.00
Weapons Genius,5,JDM4iK,JDM4iK,163188,35974,1555,0.76,-1.00,-1.00,-1.00
Infinite Gateway,53,"Half-Face Production, Nova Dimension",Nova Dimension,3910,784,785,5.00,-1.00,-1.00,-1.00
Captain Lycop : Invasion of the Heters,,Aéronie,Aéronie,16423,13816,1172,0.00,-1.00,-1.00,-1.00
Sumo Revise,10,"John Szymanski, Evan Szymanski, David Szymanski",John Szymanski,55004,40927,0,1.10,-1.00,-1.00,-1.00
Thrillville: Off the Rails,65,Frontier,LucasArts,28675,25286,1172,7.16,-1.00,-1.00,-1.00
Inexistence,24,Jonathan BRASSAUD,Jonathan BRASSAUD,28414,20594,1171,2.06,-1.00,-1.00,-1.00
Tangled Up!,74,2Pi Interactive Pvt. Ltd.,OtakuMaker.com,7038,4953,0,9.00,-1.00,-1.00,-1.00
Vector Thrust,12,TimeSymmetry,Iceberg Interactive,35453,22679,1172,1.25,-1.00,-1.00,-1.00
Bambino Rally 3,11,Play Publishing,Play Publishing,3650,1568,0,1.17,-1.00,-1.00,-1.00
Sparkle 2 Evo,33,,Forever Entertainment S. A.,291965,213499,2734,2.74,-1.00,-1.00,-1.00
Pilli Adventure,,Tavo,Calaca studios ,785,0,0,0.00,-1.00,-1.00,-1.00
Lost Saga NA,16,IO Entertainment,Smilegate West,306824,158495,1825,1.53,-1.00,-1.00,-1.00
Mino Saga,,Tomislav Kadežabek,Tomislav Kadežabek,782,0,0,0.00,-1.00,-1.00,-1.00
The Lost Battalion: All Out Warfare,8,Jake Olson,Impartial Studios,40667,34932,22679,0.98,-1.00,-1.00,-1.00
Damage Inc. Pacific Squadron WWII,7,Trickstar Games,Mad Catz,3128,3128,0,0.86,-1.00,-1.00,-1.00
Random Access Murder,1,Team Murder,Team Murder,66735,6517,0,0.27,-1.00,-1.00,-1.00
All-Star Fruit Racing,62,3DClouds.it,3DClouds.it,1303,782,781,6.33,-1.00,-1.00,-1.00
Flame Over,33,Laughing Jackal LTD,Ghostlight LTD,31543,10688,0,2.83,-1.00,-1.00,-1.00
Final Directive,100,Lazy Monday Games,Lazy Monday Ltd,785,0,0,17.00,-1.00,-1.00,-1.00
Dead Purge: Outbreak,5,Microlith Games,Microlith Games,782,778,0,0.70,-1.00,-1.00,-1.00
Tross,21,Shadowprerequisite,Shadowprerequisite,1303,1569,0,1.83,-1.00,-1.00,-1.00
"RIVE: Wreck, Hack, Die, Retry!",71,Two Tribes,Two Tribes Publishing,283102,71688,1569,8.18,-1.00,-1.00,-1.00
Drunken Robot Pornography,53,"Dejobaan Games, LLC","Dejobaan Games, LLC",60218,42752,0,5.23,-1.00,-1.00,-1.00
Vector 36,49,Red River Studio LLC,NA,9124,7560,0,4.37,-1.00,-1.00,-1.00
Sprinter,40,Light Step Games,Light Step Games,4953,784,0,3.40,-1.00,-1.00,-1.00
And So It Was,13,VolumeUp Studios,VolumeUp Studios,3389,1176,0,1.33,-1.00,-1.00,-1.00
SoulHunt,44,WinterCell Studios,WinterCell Studios,2346,2085,0,3.91,-1.00,-1.00,-1.00
Dungeon Punks,39,Hyper Awesome Entertainment,Artix Entertainment,1303,1043,0,3.25,-1.00,-1.00,-1.00
Drums Hero,49,"Player Of Music Technology Co.,Ltd","Player Of Music Technology Co.,Ltd",1043,1043,778,4.50,-1.00,-1.00,-1.00
Space Ghost Pirate Zombie Slayer,47,Brandon Brizzi,Brandon Brizzi,4692,0,0,4.00,-1.00,-1.00,-1.00
Tom Clancy's Ghost Recon: Future Soldier,24,"Ubisoft Paris, Red Storm Entertainment",Ubisoft,302914,265636,4692,2.03,-1.00,-1.00,-1.00
Raiden V: Director's Cut |  V Director's Cut | V:,17,"Moss Co., Ltd.",UFO Interactive Games ,1564,1562,0,1.60,-1.00,-1.00,-1.00
Beast Boxing Turbo,71,,,31543,12773,0,8.81,-1.00,-1.00,-1.00
KUBOOM,4,nobodyshot,nobodyshot,278931,215845,3128,0.68,-1.00,-1.00,-1.00
Still Not Dead,95,Greg Sergeant,Flying Interactive,8863,3128,2868,27.00,-1.00,-1.00,-1.00
Cally's Trials,23,VDO Games,VDO Games,27111,3910,0,2.03,-1.00,-1.00,-1.00
The Bureau: XCOM Declassified,27,2K Marin,2K Games,2538791,944454,27893,2.25,-1.00,-1.00,-1.00
Psychocat: The Answer,47,Chewa,Chewa,12252,9385,0,4.15,-1.00,-1.00,-1.00
Sky to Fly: Soulless Leviathan,53,AIVIK LLC,Absolutist Ltd.,5214,4432,0,5.00,-1.00,-1.00,-1.00
BeatBlasters III,6,Chainsawesome Games,Chainsawesome Games,22158,15902,0,0.80,-1.00,-1.00,-1.00
Sven Co-op,74,Sven Co-op Team,Sven Co-op Team,2104754,1576350,40927,9.47,-1.00,-1.00,-1.00
TRESPASS - Episode 2,100,VRotein,VRotein,782,781,0,10.00,-1.00,-1.00,-1.00
Kitty Hawk,,idsibidsi games,"Intelligent Decision Systems, Inc.",785,0,0,0.00,-1.00,-1.00,-1.00
Sky Jump,25,Easy game,Game for people,9124,1172,785,2.12,-1.00,-1.00,-1.00
Alien Splatter Redux,97,Sinclair Strange,Sinclair Strange,5735,1171,778,44.00,-1.00,-1.00,-1.00
Delta Force  Black Hawk Down: Team Sabre,82,Ritual Entertainment,"NovaLogic, THQ Nordic",31803,14859,0,12.18,-1.00,-1.00,-1.00
The Turkey of Christmas Past,74,Dinan Studios,Dinan Studios,4692,785,0,10.00,-1.00,-1.00,-1.00
Overlord: Fellowship of Evil,1,Codemasters,Codemasters,49790,17466,0,0.34,-1.00,-1.00,-1.00
Devil May Cry 4 Special Edition,78,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd. ",332110,228880,10167,10.65,-1.00,-1.00,-1.00
Lunaform,,Chronobit Studios,Chronobit Studios,2868,778,0,0.00,-1.00,-1.00,-1.00
DYE,65,"Bat Country Games, LLC","Bat Country Games, LLC",1825,1953,0,6.75,-1.00,-1.00,-1.00
Void Destroyer,21,Iteration 11,Iteration 11,94889,34149,784,1.82,-1.00,-1.00,-1.00
PRiO,71,DanielDavisGames,DanielDavisGames,8603,784,0,8.67,-1.00,-1.00,-1.00
Adam Waste,,Blackturn Ltd,Blackturn Ltd,785,785,0,0.00,-1.00,-1.00,-1.00
Dr.Green,35,Johan Aronsson,Johan Aronsson,4171,1564,0,2.89,-1.00,-1.00,-1.00
Raptor: Call of The Shadows - 2015 Edition,39,DotEmu,DotEmu,27632,15902,0,3.29,-1.00,-1.00,-1.00
NekoChan Hero - Collection,,Cosimo Menga,Cosimo Menga,11209,6778,0,1.17,-1.00,-1.00,-1.00
Plastiland,31,"FreshGem, Zillion Whales",Zillion Whales,19551,12513,0,2.65,-1.00,-1.00,-1.00
Shadow Ops: Red Mercury,51,Zombie Studios,Retroism,25547,5474,0,4.72,-1.00,-1.00,-1.00
Kraven Manor,31,Demon Wagon Studios,Demon Wagon Studios,197598,26590,1303,2.69,-1.00,-1.00,-1.00
Secret World Legends,30,Funcom,Funcom,936373,612866,16423,2.47,-1.00,-1.00,-1.00
Mr Blaster,7,ENTERi,Forever Entertainment S. A.,4171,2868,0,0.92,-1.00,-1.00,-1.00
CRYLINE,,Lagun Victor,Lagun Victor,3128,0,0,0.00,-1.00,-1.00,-1.00
illumine,78,Dejima,Dejima,6256,4692,0,10.50,-1.00,-1.00,-1.00
Sniper Fury,4,Gameloft,Gameloft,483306,321943,11991,0.69,-1.00,-1.00,-1.00
Woeful Woebots,,Hello Bard AS,Hello Bard AS,782,781,0,0.00,-1.00,-1.00,-1.00
McDROID,39,Elefantopia,Elefantopia,10167,7820,0,3.24,-1.00,-1.00,-1.00
Dragon Nest,42,Eyedentity Games Inc.,Eyedentity Games Inc.,741122,312037,3128,3.55,-1.00,-1.00,-1.00
Planet of Mubu,35,Anatoliy Loginovskikh,Zotdinex,38581,35974,5735,2.88,-1.00,-1.00,-1.00
Claire,28,Hailstorm Games,Hailstorm Games,50572,29718,0,2.33,-1.00,-1.00,-1.00
Crap Attack,82,Catom Games,Catom Games,7299,785,0,11.50,-1.00,-1.00,-1.00
Cologne,16,Piotr Młynarczyk,,781,785,0,1.50,-1.00,-1.00,-1.00
Spin Rush,42,Crohack,Just1337 Publisher,108965,68299,1176,3.63,-1.00,-1.00,-1.00
Cats Tanks,,oblomysh,oblomysh,11991,1825,1172,0.00,-1.00,-1.00,-1.00
ReVeN: XBridge,31,Varia Games,Varia Games,782,785,0,2.67,-1.00,-1.00,-1.00
Think of the Children,42,Jammed Up Studios,Surprise Attack,2085,1303,785,3.62,-1.00,-1.00,-1.00
JET HERO,25,ZOV GAME STUDIO,ZOV GAME STUDIO,4692,3910,0,2.14,-1.00,-1.00,-1.00
The Great Jitters: Pudding Panic,28,kunst-stoff GmbH,kunst-stoff GmbH,74555,6778,0,2.37,-1.00,-1.00,-1.00
Oats Studios - Volume 1 Assets,92,Oats Studios,Oats Studios,17466,12513,0,22.50,-1.00,-1.00,-1.00
Ookibloks,82,"Studio Work3, Lampert & Sons, Skyboy Games",Skyboy Games,24765,19291,0,13.00,-1.00,-1.00,-1.00
Neon Hardcorps,7,Sergey Dovganovskiy,Back To Basics Gaming,385029,292226,781,0.86,-1.00,-1.00,-1.00
DYNASTY WARRIORS 8 Empires,19,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",46402,44055,4294,1.75,-1.00,-1.00,-1.00
The Other 99,13,Burning Arrow,Burning Arrow,2354,785,0,1.35,-1.00,-1.00,-1.00
Yelaxot,28,Barkalar Games,Barkalar Games,100624,73252,0,2.33,-1.00,-1.00,-1.00
The Incredible Adventures of Van Helsing,53,NeocoreGames,NeocoreGames,885540,613908,5214,4.99,-1.00,-1.00,-1.00
TY the Tasmanian Tiger,99,Krome Studios,Krome Studios,60478,52658,1043,82.89,-1.00,-1.00,-1.00
Motorama,3,251 Games,KISS ltd,100363,17726,1570,0.61,-1.00,-1.00,-1.00
Fight Me Bro!,,Ascension Interactive Media,Ascension Interactive Media,784,785,0,0.00,-1.00,-1.00,-1.00
InMind 2 VR,51,Luden.io,Nival,7299,3125,0,4.67,-1.00,-1.00,-1.00
EITR,,Eneme Entertainment,Devolver Digital,1562,778,0,0.00,-1.00,-1.00,-1.00
The Lost Gardens,100,Rabbit Hole Studios,Rabbit Hole Studios,784,0,0,14.00,-1.00,-1.00,-1.00
Mental Asylum VR,27,Virtual Imagineering S.L.,Virtual Imagineering S.L.,1303,1303,0,2.25,-1.00,-1.00,-1.00
Legend (1994),16,Arcade Zone,"Piko Interactive LLC, Classics Digital",16944,11209,0,1.56,-1.00,-1.00,-1.00
Mankind Defender,40,Dev4play,Dev4play,5735,4171,784,3.50,-1.00,-1.00,-1.00
F.E.A.R. 2: Project Origin,65,Monolith,Warner Bros. Interactive Entertainment,1950691,827147,4692,6.75,-1.00,-1.00,-1.00
Cart Racer,30,HFM Games,HFM Games,12513,10427,1953,2.48,-1.00,-1.00,-1.00
Neon Prism,31,Just1337 Studio,Just1337 Publisher,101666,64389,781,2.61,-1.00,-1.00,-1.00
Ship Simulator: Maritime Search and Rescue,9,Reality Twist GmbH,rondomedia GmbH,33367,30239,1176,1.02,-1.00,-1.00,-1.00
Mr. Robot,47,Moonpod,Moonpod,46402,29718,0,4.17,-1.00,-1.00,-1.00
Tomb Joe,,Amaterasu Software,Amaterasu Software,218974,212196,782,0.00,-1.00,-1.00,-1.00
eXceed - Gun Bullet Children,8,Flat Software,Nyu Media,77944,58393,784,0.96,-1.00,-1.00,-1.00
Soldier of Failure,2,TSS Studio,TSS Studio,19030,1825,1176,0.43,-1.00,-1.00,-1.00
Tales from the Void,42,PortaPlay,Black Dog ,43795,26850,2333,3.75,-1.00,-1.00,-1.00
Seeking Evil: The Wendigo,17,Copybugpaste,Copybugpaste,2346,1825,0,1.60,-1.00,-1.00,-1.00
Unearned Bounty,,Extrokold Games,Extrokold Games,30500,5474,1555,0.00,-1.00,-1.00,-1.00
VROOM: Aerie,49,VROOM,VROOM,1172,1555,0,4.33,-1.00,-1.00,-1.00
CrimeCraft: GangWars,8,Vogster Entertainment,Vogster Entertainment,970523,393631,1171,0.93,-1.00,-1.00,-1.00
Wild Frontera,13,Tamarin Studios,Tamarin Studios,13034,8342,0,1.33,-1.00,-1.00,-1.00
NIGHTSTAR,86,SOLIDMESH,SOLIDMESH,2085,1171,0,14.00,-1.00,-1.00,-1.00
SEGFAULT,,NodziGames,NodziGames,15641,2342,784,0.00,-1.00,-1.00,-1.00
